CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
25722,E01006630,Liverpool 044B,Lower Super Output Areas and Data Zones,LSOADZ,1338,
25723,E01006632,Liverpool 044C,Lower Super Output Areas and Data Zones,LSOADZ,1842,
25724,E01006633,Liverpool 050B,Lower Super Output Areas and Data Zones,LSOADZ,1432,
25725,E01006637,Liverpool 017A,Lower Super Output Areas and Data Zones,LSOADZ,1596,
25726,E01006638,Liverpool 017B,Lower Super Output Areas and Data Zones,LSOADZ,1219,
25727,E01006639,Liverpool 017C,Lower Super Output Areas and Data Zones,LSOADZ,1509,
25728,E01006640,Liverpool 021F,Lower Super Output Areas and Data Zones,LSOADZ,1880,
25729,E01006641,Liverpool 025C,Lower Super Output Areas and Data Zones,LSOADZ,1740,
25730,E01006642,Liverpool 025D,Lower Super Output Areas and Data Zones,LSOADZ,1290,
25731,E01006643,Liverpool 025E,Lower Super Output Areas and Data Zones,LSOADZ,1822,
25732,E01006644,Liverpool 017D,Lower Super Output Areas and Data Zones,LSOADZ,2040,
25733,E01006645,Liverpool 017E,Lower Super Output Areas and Data Zones,LSOADZ,1424,
25734,E01006646,Liverpool 023C,Lower Super Output Areas and Data Zones,LSOADZ,1899,
25735,E01006647,Liverpool 024C,Lower Super Output Areas and Data Zones,LSOADZ,1422,
25736,E01006648,Liverpool 023D,Lower Super Output Areas and Data Zones,LSOADZ,2175,
25737,E01006651,Liverpool 001A,Lower Super Output Areas and Data Zones,LSOADZ,1642,
25738,E01006652,Liverpool 002A,Lower Super Output Areas and Data Zones,LSOADZ,1505,
25739,E01006653,Liverpool 001B,Lower Super Output Areas and Data Zones,LSOADZ,1520,
25740,E01006654,Liverpool 005A,Lower Super Output Areas and Data Zones,LSOADZ,1513,
25741,E01006655,Liverpool 001C,Lower Super Output Areas and Data Zones,LSOADZ,1758,
25742,E01006656,Liverpool 002B,Lower Super Output Areas and Data Zones,LSOADZ,1493,
25743,E01006657,Liverpool 002C,Lower Super Output Areas and Data Zones,LSOADZ,1211,
25744,E01006658,Liverpool 001D,Lower Super Output Areas and Data Zones,LSOADZ,1300,
25745,E01006659,Liverpool 005B,Lower Super Output Areas and Data Zones,LSOADZ,1765,
25746,E01006660,Liverpool 001E,Lower Super Output Areas and Data Zones,LSOADZ,1433,
25747,E01006661,Liverpool 004A,Lower Super Output Areas and Data Zones,LSOADZ,1663,
25748,E01006662,Liverpool 004B,Lower Super Output Areas and Data Zones,LSOADZ,1775,
25749,E01006663,Liverpool 004C,Lower Super Output Areas and Data Zones,LSOADZ,1153,
25750,E01006664,Liverpool 004D,Lower Super Output Areas and Data Zones,LSOADZ,1795,
25751,E01006665,Liverpool 007A,Lower Super Output Areas and Data Zones,LSOADZ,1555,
25752,E01006666,Liverpool 007B,Lower Super Output Areas and Data Zones,LSOADZ,1504,
25753,E01006667,Liverpool 007C,Lower Super Output Areas and Data Zones,LSOADZ,1453,
25754,E01006668,Liverpool 007D,Lower Super Output Areas and Data Zones,LSOADZ,1534,
25755,E01006669,Liverpool 004E,Lower Super Output Areas and Data Zones,LSOADZ,1470,
25756,E01006670,Liverpool 007E,Lower Super Output Areas and Data Zones,LSOADZ,1526,
25757,E01006671,Liverpool 013D,Lower Super Output Areas and Data Zones,LSOADZ,1355,
25758,E01006672,Liverpool 010E,Lower Super Output Areas and Data Zones,LSOADZ,1955,
25759,E01006673,Liverpool 037D,Lower Super Output Areas and Data Zones,LSOADZ,1937,
25760,E01006674,Liverpool 039C,Lower Super Output Areas and Data Zones,LSOADZ,1885,
25761,E01006675,Liverpool 043C,Lower Super Output Areas and Data Zones,LSOADZ,1824,
25762,E01006676,Liverpool 044D,Lower Super Output Areas and Data Zones,LSOADZ,1753,
25763,E01006677,Liverpool 043D,Lower Super Output Areas and Data Zones,LSOADZ,1040,
25764,E01006678,Liverpool 044E,Lower Super Output Areas and Data Zones,LSOADZ,2127,
25765,E01006679,Liverpool 039D,Lower Super Output Areas and Data Zones,LSOADZ,2232,
25766,E01006680,Liverpool 053B,Lower Super Output Areas and Data Zones,LSOADZ,1569,
25767,E01006681,Liverpool 054D,Lower Super Output Areas and Data Zones,LSOADZ,1585,
25768,E01006682,Liverpool 053C,Lower Super Output Areas and Data Zones,LSOADZ,1310,
25769,E01006683,Liverpool 053D,Lower Super Output Areas and Data Zones,LSOADZ,1510,
25770,E01006684,Liverpool 056B,Lower Super Output Areas and Data Zones,LSOADZ,2138,
25771,E01006685,Liverpool 056C,Lower Super Output Areas and Data Zones,LSOADZ,1484,
25772,E01006686,Liverpool 053E,Lower Super Output Areas and Data Zones,LSOADZ,1433,
25773,E01006687,Liverpool 056D,Lower Super Output Areas and Data Zones,LSOADZ,1952,
25774,E01006688,Liverpool 056E,Lower Super Output Areas and Data Zones,LSOADZ,1524,
25775,E01006689,Liverpool 049D,Lower Super Output Areas and Data Zones,LSOADZ,1651,
25776,E01006690,Liverpool 028A,Lower Super Output Areas and Data Zones,LSOADZ,1492,
25777,E01006691,Liverpool 030A,Lower Super Output Areas and Data Zones,LSOADZ,1503,
25778,E01006692,Liverpool 028B,Lower Super Output Areas and Data Zones,LSOADZ,2180,
25779,E01006693,Liverpool 024D,Lower Super Output Areas and Data Zones,LSOADZ,1511,
25780,E01006694,Liverpool 030B,Lower Super Output Areas and Data Zones,LSOADZ,1864,
25781,E01006695,Liverpool 028C,Lower Super Output Areas and Data Zones,LSOADZ,1821,
25782,E01006696,Liverpool 030C,Lower Super Output Areas and Data Zones,LSOADZ,1744,
25783,E01006697,Liverpool 030D,Lower Super Output Areas and Data Zones,LSOADZ,1845,
25784,E01006698,Liverpool 012D,Lower Super Output Areas and Data Zones,LSOADZ,1716,
25785,E01006699,Liverpool 014A,Lower Super Output Areas and Data Zones,LSOADZ,1594,
25786,E01006700,Liverpool 012E,Lower Super Output Areas and Data Zones,LSOADZ,1438,
25787,E01006701,Liverpool 014B,Lower Super Output Areas and Data Zones,LSOADZ,1380,
25788,E01006702,Liverpool 014C,Lower Super Output Areas and Data Zones,LSOADZ,1618,
25789,E01006703,Liverpool 014D,Lower Super Output Areas and Data Zones,LSOADZ,1561,
25790,E01006705,Liverpool 009E,Lower Super Output Areas and Data Zones,LSOADZ,1409,
25791,E01006706,Liverpool 045A,Lower Super Output Areas and Data Zones,LSOADZ,1346,
25792,E01006707,Liverpool 045B,Lower Super Output Areas and Data Zones,LSOADZ,1323,
25793,E01006708,Liverpool 045C,Lower Super Output Areas and Data Zones,LSOADZ,1805,
25794,E01006709,Liverpool 040A,Lower Super Output Areas and Data Zones,LSOADZ,1438,
25795,E01006710,Liverpool 045D,Lower Super Output Areas and Data Zones,LSOADZ,1496,
25796,E01006711,Liverpool 027A,Lower Super Output Areas and Data Zones,LSOADZ,1538,
25797,E01006712,Liverpool 029D,Lower Super Output Areas and Data Zones,LSOADZ,1339,
25798,E01006713,Liverpool 029E,Lower Super Output Areas and Data Zones,LSOADZ,1377,
25799,E01006716,Liverpool 032E,Lower Super Output Areas and Data Zones,LSOADZ,1589,
25800,E01006717,Liverpool 027D,Lower Super Output Areas and Data Zones,LSOADZ,1436,
25801,E01006718,Liverpool 027E,Lower Super Output Areas and Data Zones,LSOADZ,1587,
25802,E01006719,Liverpool 027F,Lower Super Output Areas and Data Zones,LSOADZ,1535,
25803,E01006720,Liverpool 035A,Lower Super Output Areas and Data Zones,LSOADZ,2108,
25804,E01006721,Liverpool 038C,Lower Super Output Areas and Data Zones,LSOADZ,1655,
25805,E01006722,Liverpool 038D,Lower Super Output Areas and Data Zones,LSOADZ,1793,
25806,E01006723,Liverpool 038E,Lower Super Output Areas and Data Zones,LSOADZ,1875,
25807,E01006724,Liverpool 038F,Lower Super Output Areas and Data Zones,LSOADZ,1790,
25808,E01006725,Liverpool 035B,Lower Super Output Areas and Data Zones,LSOADZ,1537,
25809,E01006726,Liverpool 035C,Lower Super Output Areas and Data Zones,LSOADZ,1565,
25810,E01006727,Liverpool 035D,Lower Super Output Areas and Data Zones,LSOADZ,1441,
25811,E01006728,Liverpool 035E,Lower Super Output Areas and Data Zones,LSOADZ,1623,
25812,E01006729,Liverpool 008C,Lower Super Output Areas and Data Zones,LSOADZ,1400,
